dataset,config_name,family,image_guidance,concat_ACC,concat_NMI,concat_ARI,train_ACC,train_NMI,train_ARI,config,meta
Pets,agp_residual015_g02,AGP,0.2,0.6862905423821205,0.8086434850460311,0.610611686877647,0.8255655491959663,0.8592264208988776,0.7336941185993546,"{""name"": ""agp_residual015_g02"", ""family"": ""AGP"", ""image_guidance"": 0.2, ""anchor_multiplier"": 6.0, ""anchor_cap"": 768, ""proto_mix_max"": 0.5, ""proto_residual_rho"": 0.15}","{""mean_gate_train"": 0.31748151779174805, ""mean_gate_test"": 0.31734269857406616, ""mean_smooth_train"": 0.16710925102233887, ""mean_smooth_test"": 0.16622357070446014, ""mean_proto_mix_train"": 0.2561456859111786, ""mean_proto_mix_test"": 0.25496476888656616, ""anchor_num_train"": 64, ""anchor_num_test"": 64}"
Pets,agp_base_g025,AGP,0.25,0.6860179885527392,0.8116381970247832,0.6120891043267571,0.821749795584628,0.8594157580495692,0.731308706039447,"{""name"": ""agp_base_g025"", ""family"": ""AGP"", ""image_guidance"": 0.25}","{""mean_gate_train"": 0.31748151779174805, ""mean_gate_test"": 0.31734269857406616, ""mean_smooth_train"": 0.16710925102233887, ""mean_smooth_test"": 0.16622357070446014, ""mean_proto_mix_train"": 0.21710926294326782, ""mean_proto_mix_test"": 0.2162235528230667, ""anchor_num_train"": 64, ""anchor_num_test"": 64}"
Pets,agp_anchor6_g015,AGP,0.15,0.666121559007904,0.7978835603895984,0.5857571774060049,0.815481057508858,0.8589511868230957,0.730202873839071,"{""name"": ""agp_anchor6_g015"", ""family"": ""AGP"", ""image_guidance"": 0.15, ""anchor_multiplier"": 6.0, ""anchor_cap"": 768, ""proto_mix_max"": 0.45, ""graph_topk"": 30}","{""mean_gate_train"": 0.31748151779174805, ""mean_gate_test"": 0.31734269857406616, ""mean_smooth_train"": 0.16710925102233887, ""mean_smooth_test"": 0.16622357070446014, ""mean_proto_mix_train"": 0.236627459526062, ""mean_proto_mix_test"": 0.23559413850307465, ""anchor_num_train"": 64, ""anchor_num_test"": 64}"
Pets,agp_caption1_g015,AGP,0.15,0.6800218043063505,0.8048390038087263,0.6032924835565311,0.8023984736985554,0.8554342138778214,0.7154609033261937,"{""name"": ""agp_caption1_g015"", ""family"": ""AGP"", ""image_guidance"": 0.15, ""concept_caption_weight"": 1.0, ""anchor_multiplier"": 5.0, ""anchor_cap"": 768, ""proto_mix_max"": 0.45}","{""mean_gate_train"": 0.31761714816093445, ""mean_gate_test"": 0.3174534738063812, ""mean_smooth_train"": 0.16706989705562592, ""mean_smooth_test"": 0.16618303954601288, ""mean_proto_mix_train"": 0.23658151924610138, ""mean_proto_mix_test"": 0.23554685711860657, ""anchor_num_train"": 64, ""anchor_num_test"": 64}"
Pets,hyb_g015,HYB,0.15,0.6609430362496593,0.8064285944805955,0.606805873869291,0.7961297356227856,0.8491672951734337,0.7134704472319644,"{""name"": ""hyb_g015"", ""family"": ""HYB"", ""image_guidance"": 0.15, ""graph_topk"": 30, ""smooth_max"": 0.3, ""anchor_multiplier"": 6.0, ""anchor_cap"": 768, ""proto_mix_max"": 0.45, ""hybrid_temp"": 0.05}","{""mean_gate_train"": 0.31748151779174805, ""mean_gate_test"": 0.31734269857406616, ""mean_smooth_train"": 0.14759103953838348, ""mean_smooth_test"": 0.14685295522212982, ""mean_proto_mix_train"": 0.236627459526062, ""mean_proto_mix_test"": 0.23559413850307465, ""anchor_num_train"": 64, ""anchor_num_test"": 64}"
Pets,agp_residual02_g015,AGP,0.15,0.6911965113109839,0.8093792308588975,0.6124217811595929,0.794766966475879,0.8456461882595798,0.7096955099528794,"{""name"": ""agp_residual02_g015"", ""family"": ""AGP"", ""image_guidance"": 0.15, ""anchor_multiplier"": 6.0, ""anchor_cap"": 768, ""proto_mix_max"": 0.5, ""proto_residual_rho"": 0.2}","{""mean_gate_train"": 0.31748151779174805, ""mean_gate_test"": 0.31734269857406616, ""mean_smooth_train"": 0.16710925102233887, ""mean_smooth_test"": 0.16622357070446014, ""mean_proto_mix_train"": 0.2561456859111786, ""mean_proto_mix_test"": 0.25496476888656616, ""anchor_num_train"": 64, ""anchor_num_test"": 64}"
Pets,ag_g015,AG,0.15,0.6560370673207958,0.8059558130423516,0.5975919180762785,0.7846824747887707,0.8399430086880456,0.6944634811815116,"{""name"": ""ag_g015"", ""family"": ""AG"", ""image_guidance"": 0.15, ""graph_topk"": 30, ""smooth_max"": 0.28, ""graph_residual_rho"": 0.1}","{""mean_gate_train"": 0.31748151779174805, ""mean_gate_test"": 0.31734269857406616, ""mean_smooth_train"": 0.13978376984596252, ""mean_smooth_test"": 0.1391047239303589, ""mean_proto_mix_train"": 0.21710926294326782, ""mean_proto_mix_test"": 0.2162235528230667, ""anchor_num_train"": 64, ""anchor_num_test"": 64}"
