dataset,targeted_config,targeted_train_ACC,previous_best_method,previous_best_train_ACC,gain_vs_previous_best,gain_vs_tac,targeted_concat_ACC
CIFAR-20,ag_base_g0,0.6125,SAGE-AG[g=0.0],0.6125,0.0,0.0887,0.5686
DTD,ag_texture35_res,0.5218085106382979,SAGE-AG[g=0.0],0.5090425531914894,0.012765957446808529,0.0345744680851065,0.45851063829787236
StanfordDogs,agp_base_g0,0.49067055393586007,SAGE-AGP[g=0.0],0.49067055393586,5.551115123125783e-17,0.032653061224489854,0.4399902818270165
Flowers,ag_guidance08_res,0.4843137254901961,SAGE-AG[g=0.5],0.4617647058823529,0.022549019607843168,0.06666666666666665,0.6647058823529411
Pets,agp_residual015_g02,0.8255655491959663,SAGE-AGP[g=0.25],0.821749795584628,0.003815753611338235,0.05205778141182893,0.6862905423821205
