dataset,best_concat_method,best_concat_ACC,concat_delta_vs_TAC,concat_delta_vs_KEC,best_train_method,best_train_ACC,train_delta_vs_TAC,train_delta_vs_KEC
CIFAR-10,KEC[g=0.5],0.7706,0.009999999999999898,0.0,SAGE-AG[g=0.0],0.9225,0.0034999999999999476,0.03420000000000001
CIFAR-20,KEC[g=0.5],0.5747,0.030399999999999983,0.0,SAGE-AG[g=0.0],0.6125,0.0887,0.08500000000000008
DTD,SAGE-AG[g=0.0],0.4792553191489361,0.022340425531914898,0.035106382978723316,SAGE-AG[g=0.0],0.5090425531914894,0.021808510638297973,0.026063829787234094
Flowers,SAGE-A[g=0.5],0.6843137254901961,0.006862745098039191,0.0009803921568627416,SAGE-AG[g=0.5],0.4617647058823529,0.044117647058823484,0.01666666666666672
Pets,TAC[g=0.0],0.702098664486236,0.0,0.040065412919051524,SAGE-AGP[g=0.25],0.821749795584628,0.048242027800490694,0.044698828018533754
STL-10,SAGE-A[g=0.5],0.8635,0.0017500000000000293,0.0002500000000000835,SAGE-AG[g=0.5],0.9855,0.00275000000000003,0.0010000000000000009
StanfordDogs,SAGE-AGP[g=0.0],0.4399902818270165,0.002283770651117567,0.01598639455782308,SAGE-AGP[g=0.0],0.49067055393586,0.0326530612244898,0.05417881438289601
