family,concat_ACC,concat_delta_vs_TAC,train_ACC,train_delta_vs_TAC
SAGE-AG,0.634401114118435,-1.8929774668139526e-06,0.6645719962577594,0.012863944561726742
SAGE-AGP,0.6324802207581068,-0.0019227863377950572,0.6571794607684307,0.005471409072398081
SAGE-HYB,0.62300895620171,-0.011394050894191873,0.6537806047790516,0.0020725530830189858
SAGE-AGPC,0.6324802207581068,-0.001922786337795057,0.6535913571565419,0.0018833054605092003
TAC,0.6344030070959018,0.0,0.6517080516960326,0.0
SAGE-AGC,0.634401114118435,-1.8929774668137049e-06,0.650979742095271,-0.0007283096007616288
KEC,0.6317242011914177,-0.0026788059044842,0.6488456385341428,-0.0028624131618898148
SAGE-A,0.6351123194516713,0.0007093123557693715,0.6448707227664832,-0.006837328929549512
