dataset,config_name,concat_ACC,concat_NMI,concat_ARI,train_ACC,train_NMI,train_ARI,image_guidance,meta
Flowers,dual_agp,0.6823529411764706,0.8862012463884048,0.6069408427521444,0.4725490196078431,0.7922833147508928,0.39071333938683367,0.65,"{""source"": ""simple+prompt"", ""variant"": ""dual_agp_hybrid"", ""mean_alpha_train_prompt"": 0.5164346098899841, ""mean_alpha_test_prompt"": 0.5159069895744324}"
Flowers,dual_moep,0.707843137254902,0.8946349038733548,0.6338368538402459,0.45294117647058824,0.7795093595822026,0.3705737105788443,0.65,"{""source"": ""simple+prompt"", ""variant"": ""dual_moep_hybrid"", ""mean_alpha_train_prompt"": 0.5172240734100342, ""mean_alpha_test_prompt"": 0.5169010162353516}"
Flowers,dual_cross_preserve,0.6813725490196079,0.8851630811306974,0.6001761443687714,0.44019607843137254,0.7798449416136859,0.3669494806107857,0.65,"{""source"": ""simple+prompt"", ""variant"": ""cross_hybrid_plus_prompt_preserve"", ""mean_cross_alpha_train_prompt_side"": 0.5677013397216797, ""mean_cross_alpha_test_prompt_side"": 0.5682594776153564, ""preserve_weight"": 0.1}"
Flowers,prompt_moep,0.6833333333333333,0.8805645830651523,0.5905038910470635,0.4323529411764706,0.7856471796649968,0.37664022352628423,0.65,"{""source"": ""prompt_root"", ""variant"": ""MOEP"", ""base_meta"": {""mean_gate_train"": 0.15084584057331085, ""mean_gate_test"": 0.1506529301404953, ""mean_smooth_train"": 0.16582681238651276, ""mean_smooth_test"": 0.16053466498851776, ""mean_proto_mix_train"": 0.2451847940683365, ""mean_proto_mix_test"": 0.23907847702503204, ""anchor_num_train"": 505, ""anchor_num_test"": 505, ""moe_train"": {""experts"": [""kec"", ""ag"", ""agp"", ""adaptive""], ""mean_weights"": {""kec"": 0.007615705952048302, ""ag"": 0.46439096331596375, ""agp"": 0.3573553264141083, ""adaptive"": 0.1706380397081375}, ""mean_alignment"": {""kec"": 0.6111011505126953, ""ag"": 0.652535617351532, ""agp"": 0.6525641083717346, ""adaptive"": 0.6520490050315857}, ""mean_neighbor_score"": {""kec"": 0.9828287959098816, ""ag"": 0.9813092350959778, ""agp"": 0.9824811220169067, ""adaptive"": 0.974731981754303}, ""mean_confidence"": {""kec"": 0.03706708550453186, ""ag"": 0.6751119494438171, ""agp"": 0.6354329586029053, ""adaptive"": 0.5160506963729858}}, ""moe_test"": {""experts"": [""kec"", ""ag"", ""agp"", ""adaptive""], ""mean_weights"": {""kec"": 0.007213842123746872, ""ag"": 0.45952779054641724, ""agp"": 0.3548523187637329, ""adaptive"": 0.1784060299396515}, ""mean_alignment"": {""kec"": 0.6106651425361633, ""ag"": 0.6522659659385681, ""agp"": 0.6523311734199524, ""adaptive"": 0.6517179608345032}, ""mean_neighbor_score"": {""kec"": 0.9823343753814697, ""ag"": 0.9805243611335754, ""agp"": 0.9818877577781677, ""adaptive"": 0.9739897847175598}, ""mean_confidence"": {""kec"": 0.037096425890922546, ""ag"": 0.6879352331161499, ""agp"": 0.648663341999054, ""adaptive"": 0.5364051461219788}}}}"
