dataset,config_name,concat_ACC,concat_NMI,concat_ARI,train_ACC,train_NMI,train_ARI,image_guidance,meta
DTD,dual_agp,0.4654255319148936,0.6186788703822035,0.30602003366685987,0.5148936170212766,0.627003984471388,0.3597001439992513,0.05,"{""source"": ""simple+prompt"", ""variant"": ""dual_agp_hybrid"", ""mean_alpha_train_prompt"": 0.5064384937286377, ""mean_alpha_test_prompt"": 0.5068485140800476}"
DTD,dual_moep,0.4675531914893617,0.6188264167458876,0.30926653052135594,0.5138297872340426,0.6298336446358358,0.35390099914509837,0.05,"{""source"": ""simple+prompt"", ""variant"": ""dual_moep_hybrid"", ""mean_alpha_train_prompt"": 0.5069690942764282, ""mean_alpha_test_prompt"": 0.5066460371017456}"
DTD,prompt_moep,0.4664893617021277,0.614956289216688,0.3190014880661076,0.5047872340425532,0.6226426182488957,0.35279064052131737,0.05,"{""source"": ""prompt_root"", ""variant"": ""MOEP"", ""base_meta"": {""mean_gate_train"": 0.15304234623908997, ""mean_gate_test"": 0.15296153724193573, ""mean_smooth_train"": 0.1970401257276535, ""mean_smooth_test"": 0.1945810467004776, ""mean_proto_mix_train"": 0.25092825293540955, ""mean_proto_mix_test"": 0.24851766228675842, ""anchor_num_train"": 300, ""anchor_num_test"": 300, ""moe_train"": {""experts"": [""kec"", ""ag"", ""agp"", ""adaptive""], ""mean_weights"": {""kec"": 0.008184248581528664, ""ag"": 0.425790399312973, ""agp"": 0.3587355613708496, ""adaptive"": 0.20728977024555206}, ""mean_alignment"": {""kec"": 0.5870203375816345, ""ag"": 0.6298149228096008, ""agp"": 0.6289106607437134, ""adaptive"": 0.6305463910102844}, ""mean_neighbor_score"": {""kec"": 0.9854487180709839, ""ag"": 0.9844505786895752, ""agp"": 0.9878303408622742, ""adaptive"": 0.9779180884361267}, ""mean_confidence"": {""kec"": 0.04562763869762421, ""ag"": 0.6858681440353394, ""agp"": 0.6589241027832031, ""adaptive"": 0.5687764286994934}}, ""moe_test"": {""experts"": [""kec"", ""ag"", ""agp"", ""adaptive""], ""mean_weights"": {""kec"": 0.00799605343490839, ""ag"": 0.42474740743637085, ""agp"": 0.3577997386455536, ""adaptive"": 0.20945678651332855}, ""mean_alignment"": {""kec"": 0.5861506462097168, ""ag"": 0.6286337375640869, ""agp"": 0.6277976036071777, ""adaptive"": 0.6297428011894226}, ""mean_neighbor_score"": {""kec"": 0.9830079674720764, ""ag"": 0.9816540479660034, ""agp"": 0.9849367737770081, ""adaptive"": 0.9741867184638977}, ""mean_confidence"": {""kec"": 0.04453364387154579, ""ag"": 0.6905413866043091, ""agp"": 0.6635730862617493, ""adaptive"": 0.5756638646125793}}}}"
DTD,dual_cross_preserve,0.4632978723404255,0.6178186952910817,0.30406773649188357,0.502127659574468,0.619520078020384,0.3394058800076816,0.05,"{""source"": ""simple+prompt"", ""variant"": ""cross_hybrid_plus_prompt_preserve"", ""mean_cross_alpha_train_prompt_side"": 0.6116382479667664, ""mean_cross_alpha_test_prompt_side"": 0.6105014681816101, ""preserve_weight"": 0.12}"
