dataset,method,family,variant_suffix,concat_ACC,concat_NMI,concat_ARI,train_ACC,train_NMI,train_ARI
StanfordDogs,TAC[g=0.0],TAC,g=0.0,0.4377065111758989,0.637291837992525,0.3177929139967706,0.45801749271137027,0.6421195343246942,0.3224774186904658
StanfordDogs,KEC[g=0.5],KEC,g=0.5,0.4240038872691934,0.6343328589939664,0.31476306016143357,0.43649173955296405,0.6329136327193549,0.31060560298296597
StanfordDogs,SAGE-A[g=0.5],SAGE-A,g=0.5,0.42750242954324585,0.6365659968602739,0.31555662057351896,0.4400388726919339,0.6307748539931867,0.308818989273509
StanfordDogs,SAGE-AG[g=0.0],SAGE-AG,g=0.0,0.43357628765792033,0.6396526759776278,0.31590471704027157,0.4738095238095238,0.6495584459441293,0.33445964238562037
StanfordDogs,SAGE-AG[g=0.5],SAGE-AG,g=0.5,0.43357628765792033,0.6396526759776278,0.31590471704027157,0.450485908649174,0.6371432453805783,0.3195756819035164
StanfordDogs,SAGE-AGP[g=0.0],SAGE-AGP,g=0.0,0.4399902818270165,0.6340585997585358,0.3258615285621157,0.49067055393586007,0.6568164959678612,0.3500297149419991
StanfordDogs,SAGE-AGP[g=0.25],SAGE-AGP,g=0.25,0.4399902818270165,0.6340585997585358,0.3258615285621157,0.4640913508260447,0.6471863743106054,0.3285013648803344
StanfordDogs,SAGE-AGP[g=0.5],SAGE-AGP,g=0.5,0.4399902818270165,0.6340585997585358,0.3258615285621157,0.4472303206997085,0.6410636053155034,0.3238461955500821
StanfordDogs,SAGE-AGC[adaptive],SAGE-AGC,adaptive,0.43357628765792033,0.6396526759776278,0.31590471704027157,0.45053449951409136,0.6408071045019457,0.3198141154863869
StanfordDogs,SAGE-AGPC[adaptive],SAGE-AGPC,adaptive,0.4399902818270165,0.6340585997585358,0.3258615285621157,0.4761418853255588,0.6457318341283375,0.33057358213223453
StanfordDogs,SAGE-HYB[adaptive],SAGE-HYB,adaptive,0.43615160349854226,0.6378888515203688,0.32668738334576136,0.45826044703595725,0.6427904292284748,0.3233080778806139
