dataset,config_name,concat_ACC,concat_NMI,concat_ARI,train_ACC,train_NMI,train_ARI,image_guidance,meta
StanfordDogs,dual_cross_preserve,0.5071428571428571,0.6742488077785167,0.38715817740926345,0.5650631681243926,0.6968735868875561,0.42036257871831273,0.05,"{""source"": ""simple+prompt"", ""variant"": ""cross_hybrid_plus_prompt_preserve"", ""mean_cross_alpha_train_prompt_side"": 0.6424746513366699, ""mean_cross_alpha_test_prompt_side"": 0.6424746513366699, ""preserve_weight"": 0.18}"
StanfordDogs,prompt_moep,0.5077745383867833,0.6758322899293091,0.3890856867799105,0.5515063168124392,0.6890381123421103,0.4048780988288705,0.05,"{""source"": ""prompt_root"", ""variant"": ""MOEP"", ""base_meta"": {""mean_gate_train"": 0.15001343190670013, ""mean_gate_test"": 0.15001343190670013, ""mean_smooth_train"": 0.1276237815618515, ""mean_smooth_test"": 0.1276237815618515, ""mean_proto_mix_train"": 0.21812313795089722, ""mean_proto_mix_test"": 0.21812313795089722, ""anchor_num_train"": 720, ""anchor_num_test"": 720, ""moe_train"": {""experts"": [""kec"", ""ag"", ""agp"", ""adaptive""], ""mean_weights"": {""kec"": 0.0011904322309419513, ""ag"": 0.47101736068725586, ""agp"": 0.3163066506385803, ""adaptive"": 0.21148556470870972}, ""mean_alignment"": {""kec"": 0.6033420562744141, ""ag"": 0.643032431602478, ""agp"": 0.6426855325698853, ""adaptive"": 0.6427562832832336}, ""mean_neighbor_score"": {""kec"": 0.984506368637085, ""ag"": 0.981761634349823, ""agp"": 0.9859498143196106, ""adaptive"": 0.9771999716758728}, ""mean_confidence"": {""kec"": 0.023758841678500175, ""ag"": 0.767440676689148, ""agp"": 0.7221911549568176, ""adaptive"": 0.6625053286552429}}, ""moe_test"": {""experts"": [""kec"", ""ag"", ""agp"", ""adaptive""], ""mean_weights"": {""kec"": 0.0011904322309419513, ""ag"": 0.47101736068725586, ""agp"": 0.3163066506385803, ""adaptive"": 0.21148556470870972}, ""mean_alignment"": {""kec"": 0.6033420562744141, ""ag"": 0.643032431602478, ""agp"": 0.6426855325698853, ""adaptive"": 0.6427562832832336}, ""mean_neighbor_score"": {""kec"": 0.984506368637085, ""ag"": 0.981761634349823, ""agp"": 0.9859498143196106, ""adaptive"": 0.9771999716758728}, ""mean_confidence"": {""kec"": 0.023758841678500175, ""ag"": 0.767440676689148, ""agp"": 0.7221911549568176, ""adaptive"": 0.6625053286552429}}}}"
StanfordDogs,dual_moep,0.503935860058309,0.6746016030059958,0.3817906130065142,0.5514577259475218,0.6926669066107737,0.4075136927775735,0.05,"{""source"": ""simple+prompt"", ""variant"": ""dual_moep_hybrid"", ""mean_alpha_train_prompt"": 0.5811604261398315, ""mean_alpha_test_prompt"": 0.5811604261398315}"
StanfordDogs,dual_agp,0.49416909620991256,0.669277072726915,0.3779642908286638,0.5494655004859087,0.6941831573000238,0.40843721798724225,0.05,"{""source"": ""simple+prompt"", ""variant"": ""dual_agp_hybrid"", ""mean_alpha_train_prompt"": 0.5634941458702087, ""mean_alpha_test_prompt"": 0.5634941458702087}"
