dataset,best_config,best_train_ACC,best_concat_ACC,previous_best_method,previous_best_train_ACC,gain_vs_previous_best,gain_vs_tac,gain_vs_kec
DTD,dual_agp,0.5148936170212766,0.4654255319148936,ag_texture35_res,0.5218085106382979,-0.006914893617021356,0.027659574468085146,0.03191489361702127
Flowers,dual_agp,0.4725490196078431,0.6823529411764706,ag_guidance08_res,0.4843137254901961,-0.011764705882352955,0.0549019607843137,0.027450980392156932
Pets,prompt_moep,0.8034886890160807,0.6655764513491415,agp_residual015_g02,0.8255655491959663,-0.022076860179885527,0.029980921231943403,0.026437721449986462
StanfordDogs,dual_cross_preserve,0.5650631681243926,0.5071428571428571,agp_base_g0,0.49067055393586,0.0743926141885326,0.1070456754130224,0.12857142857142861
