dataset,config_name,family,image_guidance,concat_ACC,concat_NMI,concat_ARI,train_ACC,train_NMI,train_ARI,config,meta
StanfordDogs,agp_base_g0,AGP,0.0,0.4399902818270165,0.6340585997585358,0.3258615285621157,0.49067055393586007,0.6568164959678612,0.3500297149419991,"{""name"": ""agp_base_g0"", ""family"": ""AGP"", ""image_guidance"": 0.0}","{""mean_gate_train"": 0.15001264214515686, ""mean_gate_test"": 0.15001264214515686, ""mean_smooth_train"": 0.14797775447368622, ""mean_smooth_test"": 0.14797775447368622, ""mean_proto_mix_train"": 0.19797776639461517, ""mean_proto_mix_test"": 0.19797776639461517, ""anchor_num_train"": 480, ""anchor_num_test"": 480}"
StanfordDogs,agp_caption1,AGP,0.0,0.43017492711370264,0.6320388545009175,0.3200653734538868,0.48974732750242955,0.6571291270763108,0.3479720743463639,"{""name"": ""agp_caption1"", ""family"": ""AGP"", ""image_guidance"": 0.0, ""concept_caption_weight"": 1.0, ""anchor_multiplier"": 5.0, ""anchor_cap"": 768, ""proto_mix_max"": 0.45}","{""mean_gate_train"": 0.15000750124454498, ""mean_gate_test"": 0.15000750124454498, ""mean_smooth_train"": 0.14797775447368622, ""mean_smooth_test"": 0.14797775447368622, ""mean_proto_mix_train"": 0.21430738270282745, ""mean_proto_mix_test"": 0.21430738270282745, ""anchor_num_train"": 600, ""anchor_num_test"": 600}"
StanfordDogs,agp_anchor3_g0,AGP,0.0,0.4338678328474247,0.6349094985820528,0.32538899541830535,0.4867832847424684,0.6567129008586188,0.3472961227026916,"{""name"": ""agp_anchor3_g0"", ""family"": ""AGP"", ""image_guidance"": 0.0, ""anchor_multiplier"": 3.0, ""anchor_cap"": 512, ""proto_mix_max"": 0.35, ""graph_topk"": 25}","{""mean_gate_train"": 0.15001264214515686, ""mean_gate_test"": 0.15001264214515686, ""mean_smooth_train"": 0.14797775447368622, ""mean_smooth_test"": 0.14797775447368622, ""mean_proto_mix_train"": 0.1816481202840805, ""mean_proto_mix_test"": 0.1816481202840805, ""anchor_num_train"": 360, ""anchor_num_test"": 360}"
StanfordDogs,agp_residual015,AGP,0.0,0.4297862001943635,0.6357535633957034,0.32491712550622015,0.48527696793002917,0.6558222134490478,0.34831282205545905,"{""name"": ""agp_residual015"", ""family"": ""AGP"", ""image_guidance"": 0.0, ""anchor_multiplier"": 6.0, ""anchor_cap"": 768, ""proto_mix_max"": 0.5, ""proto_residual_rho"": 0.15, ""graph_topk"": 30}","{""mean_gate_train"": 0.15001264214515686, ""mean_gate_test"": 0.15001264214515686, ""mean_smooth_train"": 0.14797775447368622, ""mean_smooth_test"": 0.14797775447368622, ""mean_proto_mix_train"": 0.23063701391220093, ""mean_proto_mix_test"": 0.23063701391220093, ""anchor_num_train"": 720, ""anchor_num_test"": 720}"
StanfordDogs,agp_anchor3_caption1,AGP,0.0,0.434645286686103,0.6360387695021141,0.3264323091802659,0.4845481049562682,0.655249827375134,0.3439144347463862,"{""name"": ""agp_anchor3_caption1"", ""family"": ""AGP"", ""image_guidance"": 0.0, ""concept_caption_weight"": 1.0, ""anchor_multiplier"": 3.0, ""anchor_cap"": 512, ""proto_mix_max"": 0.35, ""proto_residual_rho"": 0.05}","{""mean_gate_train"": 0.15000750124454498, ""mean_gate_test"": 0.15000750124454498, ""mean_smooth_train"": 0.14797775447368622, ""mean_smooth_test"": 0.14797775447368622, ""mean_proto_mix_train"": 0.1816481202840805, ""mean_proto_mix_test"": 0.1816481202840805, ""anchor_num_train"": 360, ""anchor_num_test"": 360}"
StanfordDogs,agp_anchor6_proto45,AGP,0.0,0.4274052478134111,0.6305461346204081,0.3136551567659842,0.48328474246841596,0.6561738362409892,0.3472083552841343,"{""name"": ""agp_anchor6_proto45"", ""family"": ""AGP"", ""image_guidance"": 0.0, ""anchor_multiplier"": 6.0, ""anchor_cap"": 768, ""proto_mix_max"": 0.45, ""graph_topk"": 30}","{""mean_gate_train"": 0.15001264214515686, ""mean_gate_test"": 0.15001264214515686, ""mean_smooth_train"": 0.14797775447368622, ""mean_smooth_test"": 0.14797775447368622, ""mean_proto_mix_train"": 0.21430738270282745, ""mean_proto_mix_test"": 0.21430738270282745, ""anchor_num_train"": 720, ""anchor_num_test"": 720}"
StanfordDogs,agpc_like_fixed,AGP,0.05,0.4248299319727891,0.631918084953196,0.3127507548154206,0.4812925170068027,0.6545680353599914,0.34589086831904586,"{""name"": ""agpc_like_fixed"", ""family"": ""AGP"", ""image_guidance"": 0.05, ""anchor_multiplier"": 6.0, ""anchor_cap"": 768, ""proto_mix_max"": 0.4, ""proto_residual_rho"": 0.05}","{""mean_gate_train"": 0.15001264214515686, ""mean_gate_test"": 0.15001264214515686, ""mean_smooth_train"": 0.14797775447368622, ""mean_smooth_test"": 0.14797775447368622, ""mean_proto_mix_train"": 0.19797776639461517, ""mean_proto_mix_test"": 0.19797776639461517, ""anchor_num_train"": 720, ""anchor_num_test"": 720}"
StanfordDogs,agp_soft_g01,AGP,0.1,0.4189018464528669,0.6322095065542345,0.3064180693075553,0.47628765792031097,0.6518477143322569,0.3389784759014459,"{""name"": ""agp_soft_g01"", ""family"": ""AGP"", ""image_guidance"": 0.1, ""anchor_multiplier"": 6.0, ""anchor_cap"": 768, ""proto_mix_max"": 0.45, ""proto_residual_rho"": 0.1}","{""mean_gate_train"": 0.15001264214515686, ""mean_gate_test"": 0.15001264214515686, ""mean_smooth_train"": 0.14797775447368622, ""mean_smooth_test"": 0.14797775447368622, ""mean_proto_mix_train"": 0.21430738270282745, ""mean_proto_mix_test"": 0.21430738270282745, ""anchor_num_train"": 720, ""anchor_num_test"": 720}"
