dataset,config_name,family,image_guidance,concat_ACC,concat_NMI,concat_ARI,train_ACC,train_NMI,train_ARI,config,meta
Flowers,ag_guidance08_res,AG,0.8,0.6647058823529411,0.8770453786521809,0.5708780199421816,0.4843137254901961,0.799025350376389,0.41060226676017525,"{""name"": ""ag_guidance08_res"", ""family"": ""AG"", ""image_guidance"": 0.8, ""graph_topk"": 20, ""smooth_max"": 0.32, ""graph_residual_rho"": 0.12}","{""mean_gate_train"": 0.1553666591644287, ""mean_gate_test"": 0.15435554087162018, ""mean_smooth_train"": 0.18851125240325928, ""mean_smooth_test"": 0.18504633009433746, ""mean_proto_mix_train"": 0.2539013922214508, ""mean_proto_mix_test"": 0.25005146861076355, ""anchor_num_train"": 304, ""anchor_num_test"": 304}"
Flowers,ag_guidance075_res,AG,0.75,0.6647058823529411,0.8770453786521809,0.5708780199421816,0.4774509803921569,0.7934479352822641,0.3986438948958424,"{""name"": ""ag_guidance075_res"", ""family"": ""AG"", ""image_guidance"": 0.75, ""graph_topk"": 20, ""smooth_max"": 0.32, ""graph_residual_rho"": 0.1}","{""mean_gate_train"": 0.1553666591644287, ""mean_gate_test"": 0.15435554087162018, ""mean_smooth_train"": 0.18851125240325928, ""mean_smooth_test"": 0.18504633009433746, ""mean_proto_mix_train"": 0.2539013922214508, ""mean_proto_mix_test"": 0.25005146861076355, ""anchor_num_train"": 304, ""anchor_num_test"": 304}"
Flowers,ag_guidance07_caption09,AG,0.7,0.6784313725490196,0.8765831620929633,0.5724752802702656,0.4696078431372549,0.7934989635360694,0.39837134824745596,"{""name"": ""ag_guidance07_caption09"", ""family"": ""AG"", ""image_guidance"": 0.7, ""concept_caption_weight"": 0.9, ""graph_topk"": 15, ""smooth_max"": 0.3, ""graph_residual_rho"": 0.08}","{""mean_gate_train"": 0.15522004663944244, ""mean_gate_test"": 0.15417993068695068, ""mean_smooth_train"": 0.17825114727020264, ""mean_smooth_test"": 0.17504286766052246, ""mean_proto_mix_train"": 0.2539013922214508, ""mean_proto_mix_test"": 0.25005146861076355, ""anchor_num_train"": 304, ""anchor_num_test"": 304}"
Flowers,ag_base_g05,AG,0.5,0.6803921568627451,0.8788975929967033,0.5800730610102814,0.46176470588235297,0.7839992420150586,0.3731025312612333,"{""name"": ""ag_base_g05"", ""family"": ""AG"", ""image_guidance"": 0.5}","{""mean_gate_train"": 0.1553666591644287, ""mean_gate_test"": 0.15435554087162018, ""mean_smooth_train"": 0.20390141010284424, ""mean_smooth_test"": 0.2000514715909958, ""mean_proto_mix_train"": 0.2539013922214508, ""mean_proto_mix_test"": 0.25005146861076355, ""anchor_num_train"": 304, ""anchor_num_test"": 304}"
Flowers,ag_guidance065,AG,0.65,0.6784313725490196,0.8796644506562914,0.5870312405346657,0.4588235294117647,0.7880178528575423,0.3767114246674907,"{""name"": ""ag_guidance065"", ""family"": ""AG"", ""image_guidance"": 0.65, ""graph_topk"": 15, ""smooth_max"": 0.3}","{""mean_gate_train"": 0.1553666591644287, ""mean_gate_test"": 0.15435554087162018, ""mean_smooth_train"": 0.17825114727020264, ""mean_smooth_test"": 0.17504286766052246, ""mean_proto_mix_train"": 0.2539013922214508, ""mean_proto_mix_test"": 0.25005146861076355, ""anchor_num_train"": 304, ""anchor_num_test"": 304}"
Flowers,agp_g05,AGP,0.5,0.6774509803921569,0.88597742925863,0.5902240343677956,0.45,0.7730722942789595,0.3613573810319961,"{""name"": ""agp_g05"", ""family"": ""AGP"", ""image_guidance"": 0.5, ""anchor_multiplier"": 4.0, ""anchor_cap"": 512, ""proto_mix_max"": 0.35}","{""mean_gate_train"": 0.1553666591644287, ""mean_gate_test"": 0.15435554087162018, ""mean_smooth_train"": 0.20390141010284424, ""mean_smooth_test"": 0.2000514715909958, ""mean_proto_mix_train"": 0.2282511591911316, ""mean_proto_mix_test"": 0.2250428944826126, ""anchor_num_train"": 304, ""anchor_num_test"": 304}"
Flowers,ag_caption1_g05,AG,0.5,0.6656862745098039,0.8776899616380932,0.5756660984923374,0.44019607843137254,0.7782926434362,0.3695803668937449,"{""name"": ""ag_caption1_g05"", ""family"": ""AG"", ""image_guidance"": 0.5, ""concept_caption_weight"": 1.0, ""graph_topk"": 10, ""smooth_max"": 0.28, ""concept_conf_alpha"": 0.7}","{""mean_gate_train"": 0.15515318512916565, ""mean_gate_test"": 0.15409982204437256, ""mean_smooth_train"": 0.16799107193946838, ""mean_smooth_test"": 0.16503944993019104, ""mean_proto_mix_train"": 0.2539013922214508, ""mean_proto_mix_test"": 0.25005146861076355, ""anchor_num_train"": 304, ""anchor_num_test"": 304}"
Flowers,agp_caption1_g04,AGP,0.4,0.6872549019607843,0.8854795771418956,0.6157664867888437,0.44019607843137254,0.7690099937557042,0.3551870410517871,"{""name"": ""agp_caption1_g04"", ""family"": ""AGP"", ""image_guidance"": 0.4, ""concept_caption_weight"": 1.0, ""anchor_multiplier"": 5.0, ""anchor_cap"": 640, ""proto_mix_max"": 0.4, ""proto_residual_rho"": 0.1}","{""mean_gate_train"": 0.15515318512916565, ""mean_gate_test"": 0.15409982204437256, ""mean_smooth_train"": 0.20390141010284424, ""mean_smooth_test"": 0.2000514715909958, ""mean_proto_mix_train"": 0.2539013922214508, ""mean_proto_mix_test"": 0.25005146861076355, ""anchor_num_train"": 380, ""anchor_num_test"": 380}"
