dataset,config_name,family,image_guidance,concat_ACC,concat_NMI,concat_ARI,train_ACC,train_NMI,train_ARI,config,meta
DTD,ag_texture35_res,AG,0.05,0.45851063829787236,0.6120994789117082,0.30790411769733556,0.5218085106382979,0.6309856335155035,0.36388965082564406,"{""name"": ""ag_texture35_res"", ""family"": ""AG"", ""image_guidance"": 0.05, ""graph_topk"": 35, ""smooth_min"": 0.06, ""smooth_max"": 0.43, ""certainty_power"": 1.2, ""graph_residual_rho"": 0.1}","{""mean_gate_train"": 0.1518022119998932, ""mean_gate_test"": 0.1518895924091339, ""mean_smooth_train"": 0.19685031473636627, ""mean_smooth_test"": 0.19609756767749786, ""mean_proto_mix_train"": 0.22626937925815582, ""mean_proto_mix_test"": 0.225764662027359, ""anchor_num_train"": 188, ""anchor_num_test"": 188}"
DTD,ag_texture30,AG,0.0,0.45904255319148934,0.6108188220772928,0.3081389358601367,0.5207446808510638,0.6256291986723924,0.3540182770193613,"{""name"": ""ag_texture30"", ""family"": ""AG"", ""image_guidance"": 0.0, ""graph_topk"": 30, ""smooth_min"": 0.06, ""smooth_max"": 0.42, ""certainty_power"": 1.2, ""concept_conf_alpha"": 0.5}","{""mean_gate_train"": 0.1518022119998932, ""mean_gate_test"": 0.15188957750797272, ""mean_smooth_train"": 0.19315166771411896, ""mean_smooth_test"": 0.19241926074028015, ""mean_proto_mix_train"": 0.22626937925815582, ""mean_proto_mix_test"": 0.225764662027359, ""anchor_num_train"": 188, ""anchor_num_test"": 188}"
DTD,hyb_texture,HYB,0.0,0.45478723404255317,0.6141135020440022,0.3071441878292154,0.5154255319148936,0.6306690204830026,0.3579734070181107,"{""name"": ""hyb_texture"", ""family"": ""HYB"", ""image_guidance"": 0.0, ""graph_topk"": 30, ""smooth_max"": 0.4, ""anchor_multiplier"": 5.0, ""proto_mix_max"": 0.4, ""hybrid_temp"": 0.05}","{""mean_gate_train"": 0.1518022119998932, ""mean_gate_test"": 0.1518895924091339, ""mean_smooth_train"": 0.1973142921924591, ""mean_smooth_test"": 0.19672541320323944, ""mean_proto_mix_train"": 0.22626937925815582, ""mean_proto_mix_test"": 0.225764662027359, ""anchor_num_train"": 235, ""anchor_num_test"": 235}"
DTD,ag_texture50_res,AG,0.0,0.45691489361702126,0.6112318625340489,0.30806542903412654,0.5095744680851064,0.6264180107416971,0.3491749962374252,"{""name"": ""ag_texture50_res"", ""family"": ""AG"", ""image_guidance"": 0.0, ""graph_topk"": 50, ""smooth_min"": 0.08, ""smooth_max"": 0.45, ""graph_residual_rho"": 0.15, ""concept_caption_weight"": 0.6}","{""mean_gate_train"": 0.15182767808437347, ""mean_gate_test"": 0.15190325677394867, ""mean_smooth_train"": 0.23573224246501923, ""mean_smooth_test"": 0.23510973155498505, ""mean_proto_mix_train"": 0.22626937925815582, ""mean_proto_mix_test"": 0.225764662027359, ""anchor_num_train"": 188, ""anchor_num_test"": 188}"
DTD,ag_base_g0,AG,0.0,0.47925531914893615,0.6112305465926201,0.3052116341006428,0.5090425531914894,0.6222847840256476,0.3446637011369578,"{""name"": ""ag_base_g0"", ""family"": ""AG"", ""image_guidance"": 0.0}","{""mean_gate_train"": 0.1518022119998932, ""mean_gate_test"": 0.1518895924091339, ""mean_smooth_train"": 0.17626938223838806, ""mean_smooth_test"": 0.17576465010643005, ""mean_proto_mix_train"": 0.22626937925815582, ""mean_proto_mix_test"": 0.225764662027359, ""anchor_num_train"": 188, ""anchor_num_test"": 188}"
DTD,agp_texture,AGP,0.0,0.4702127659574468,0.6199608369942052,0.3043010330195511,0.5069148936170212,0.6239381924129964,0.3542848815291161,"{""name"": ""agp_texture"", ""family"": ""AGP"", ""image_guidance"": 0.0, ""anchor_multiplier"": 5.0, ""anchor_cap"": 512, ""proto_mix_max"": 0.45, ""proto_residual_rho"": 0.1}","{""mean_gate_train"": 0.1518022119998932, ""mean_gate_test"": 0.1518895924091339, ""mean_smooth_train"": 0.17626938223838806, ""mean_smooth_test"": 0.17576465010643005, ""mean_proto_mix_train"": 0.24731428921222687, ""mean_proto_mix_test"": 0.246725395321846, ""anchor_num_train"": 235, ""anchor_num_test"": 235}"
DTD,ag_attrheavy_g01,AG,0.1,0.4595744680851064,0.6116907091351215,0.3092272619015043,0.5063829787234042,0.6252109388605811,0.35517299571473027,"{""name"": ""ag_attrheavy_g01"", ""family"": ""AG"", ""image_guidance"": 0.1, ""unary_weight"": 0.8, ""binary_weight"": 0.2, ""graph_topk"": 30, ""smooth_max"": 0.4}","{""mean_gate_train"": 0.1518022119998932, ""mean_gate_test"": 0.1518895924091339, ""mean_smooth_train"": 0.1973142921924591, ""mean_smooth_test"": 0.19672541320323944, ""mean_proto_mix_train"": 0.22626937925815582, ""mean_proto_mix_test"": 0.225764662027359, ""anchor_num_train"": 188, ""anchor_num_test"": 188}"
