dataset,method,family,variant_suffix,concat_ACC,concat_NMI,concat_ARI,train_ACC,train_NMI,train_ARI
CIFAR-10,TAC[g=0.0],TAC,g=0.0,0.7606,0.7729092695936484,0.691891470010091,0.919,0.8352194166747926,0.831874254047772
CIFAR-10,KEC[g=0.5],KEC,g=0.5,0.7706,0.7740126009161201,0.6987021229474742,0.8883,0.7918718403859691,0.776759225453619
CIFAR-10,SAGE-A[g=0.5],SAGE-A,g=0.5,0.7672,0.76919579547131,0.6937500943061617,0.8523,0.7600811703796674,0.7233250432214549
CIFAR-10,SAGE-AG[g=0.0],SAGE-AG,g=0.0,0.7617,0.766661163545775,0.6856659893257958,0.9225,0.8414823368262535,0.8386178058923015
CIFAR-10,SAGE-AG[g=0.5],SAGE-AG,g=0.5,0.7617,0.766661163545775,0.6856659893257958,0.9069,0.8170933270179827,0.8094823870921328
CIFAR-10,SAGE-AGP[g=0.0],SAGE-AGP,g=0.0,0.7272,0.7486096259179491,0.6525167199534522,0.91,0.8237426110491352,0.8140752803341048
CIFAR-10,SAGE-AGP[g=0.25],SAGE-AGP,g=0.25,0.7272,0.7486096259179491,0.6525167199534522,0.9159,0.8305893153912085,0.8258843016573332
CIFAR-10,SAGE-AGP[g=0.5],SAGE-AGP,g=0.5,0.7272,0.7486096259179491,0.6525167199534522,0.8033,0.7400592979169609,0.6777512925027924
CIFAR-10,SAGE-AGC[adaptive],SAGE-AGC,adaptive,0.7617,0.766661163545775,0.6856659893257958,0.9145,0.8269595361688697,0.8232049741149189
CIFAR-10,SAGE-AGPC[adaptive],SAGE-AGPC,adaptive,0.7272,0.7486096259179491,0.6525167199534522,0.9131,0.8246120856092102,0.8203815885798886
CIFAR-10,SAGE-HYB[adaptive],SAGE-HYB,adaptive,0.769,0.7738802887384103,0.6959460131538587,0.9148,0.8279876624268835,0.8240127189285364
